Distance,Data
38,(2.9274455e-05-4.695421e-06j)
38,(1.4798161e-05-9.953659e-06j)
38,(6.296778e-06+2.4318585e-06j)
38,(2.3603212e-05-7.4173554e-06j)
38,(2.0090094e-06-2.8092403e-05j)
38,(-1.7934619e-05-1.1670659e-05j)
38,(-1.0737157e-05+1.794e-05j)
38,(1.8957277e-05-9.074907e-06j)
38,(-7.041422e-06-1.669225e-05j)
38,(-1.8638935e-05-1.4170329e-05j)
38,(-2.565264e-05-4.9433953e-07j)
40,(2.3357227e-06+2.12819e-05j)
40,(-1.6971497e-06-2.1430208e-06j)
40,(4.98904e-06+3.6013619e-06j)
40,(6.762103e-07+5.5257487e-06j)
40,(8.345597e-07+2.7286685e-06j)
40,(5.7338048e-06-1.1695266e-05j)
40,(1.0103168e-05-5.6020785e-06j)
40,(-1.3165461e-06+4.8465736e-06j)
40,(2.8160407e-06-7.262494e-06j)
40,(7.860466e-06-1.788453e-05j)
40,(4.598996e-06-9.262873e-06j)
40,(3.6118706e-06-5.203206e-05j)
40,(-9.1102134e-05-7.2073824e-05j)
40,(-9.600132e-05+0.0001662638j)
40,(9.567918e-05+3.916526e-05j)
40,(3.9189483e-05-1.2538778e-05j)
40,(1.5734453e-05-2.2746653e-05j)
40,(-3.1128152e-06+3.4242976e-06j)
40,(1.809303e-05-6.3935117e-06j)
40,(3.3251042e-06-2.3345578e-05j)
40,(-1.5342392e-05-1.0453153e-05j)
40,(-1.4819933e-05+1.2931645e-05j)
40,(2.0742897e-05-2.6317962e-06j)
40,(-4.2029546e-06-2.3641256e-05j)
40,(-1.7977114e-05-5.1802044e-06j)
40,(-1.9839785e-05+8.92848e-06j)
